Currency	RateToCAD	DateKey
USD	1.06365	20131231
GBP	1.759649	20131231
EUR	1.465976	20131231
USD	1.1218	20140131
GBP	1.848558	20140131
EUR	1.515215	20140131
USD	1.10755	20140228
GBP	1.85426	20140228
EUR	1.528696	20140228
USD	1.10195	20140331
GBP	1.83381	20140331
EUR	1.518818	20140331
USD	1.09675	20140430
GBP	1.845392	20140430
EUR	1.518889	20140430
USD	1.08355	20140531
GBP	1.814079	20140531
EUR	1.474766	20140531
USD	1.0682	20140630
GBP	1.821655	20140630
EUR	1.458894	20140630
USD	1.09215	20140731
GBP	1.841911	20140731
EUR	1.460587	20140731
USD	1.08365	20140831
GBP	1.797775	20140831
EUR	1.429605	20140831
USD	1.1175	20140930
GBP	1.811021	20140930
EUR	1.407771	20140930
USD	1.1268	20141031
GBP	1.800514	20141031
EUR	1.412387	20141031
USD	1.13915	20141130
GBP	1.789092	20141130
EUR	1.4224	20141130
USD	1.16015	20141231
GBP	1.807456	20141231
EUR	1.407842	20141231
USD	1.272	20150131
GBP	1.916332	20150131
EUR	1.440349	20150131
USD	1.24685	20150228
GBP	1.926134	20150228
EUR	1.401522	20150228
USD	1.2735	20150331
GBP	1.88287	20150331
EUR	1.369649	20150331
USD	1.2113	20150430
GBP	1.86201	20150430
EUR	1.357141	20150430
USD	1.2499	20150531
GBP	1.911097	20150531
EUR	1.373953	20150531
USD	1.2418	20150630
GBP	1.958194	20150630
EUR	1.395162	20150630
USD	1.3022	20150731
GBP	2.036511	20150731
EUR	1.443619	20150731
USD	1.3308	20150831
GBP	2.05043	20150831
EUR	1.49562	20150831
USD	1.33285	20150930
GBP	2.034104	20150930
EUR	1.510042	20150930
USD	1.3148	20151031
GBP	2.021045	20151031
EUR	1.453577	20151031
USD	1.3354	20151130
GBP	2.006171	20151130
EUR	1.412653	20151130
USD	1.3826	20151231
GBP	2.03892	20151231
EUR	1.501573	20151231
USD	1.3992	20160131
GBP	1.995679	20160131
EUR	1.518972	20160131
USD	1.352	20160229
GBP	1.874886	20160229
EUR	1.471652	20160229
USD	1.2894	20160331
GBP	1.850418	20160331
EUR	1.468562	20160331
USD	1.25375	20160430
GBP	1.832105	20160430
EUR	1.431093	20160430
USD	1.3071	20160531
GBP	1.914836	20160531
EUR	1.458462	20160531
USD	1.295	20160630
GBP	1.740351	20160630
EUR	1.436738	20160630
